Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
Polylactic Acid (PLA) Blends,42.07,121.26,49.53,234.74,54.53,75.18,59.96,53.14
Seaweed/Kelp-based Polymer,19.74,40.79,107.18,196.04,71.93,94.63,71.49,20.55
Starch-based Polymer,39.32,113.62,122.29,230.21,86.62,87.28,78.97,40.09
Chitosan,12.82,105.88,189.42,217.04,62.18,47.07,57.53,49.52
Chitosan,9.07,122.61,61.69,163.8,83.21,86.31,81.86,21.11
Paper-based Composite,18.75,70.87,206.55,164.21,85.14,96.82,99.68,94.29
Recycled LDPE,92.04,97.22,133.01,213.46,64.62,41.36,98.36,77.75
Thermoplastic Starch (TPS),55.43,59.55,227.41,178.61,81.03,98.55,92.18,50.83
Polycaprolactone (PCL),92.28,39.88,147.96,217.63,85.03,33.7,66.4,51.69
Polyhydroxyvalerate (PHV),45.07,67.19,120.01,224.93,74.66,67.51,55.23,53.69
Thermoplastic Starch (TPS),34.39,37.91,82.4,244.88,68.49,84.62,92.38,36.05
Polybutylene Succinate (PBS),51.59,124.1,39.97,151.71,81.91,85.75,56.75,39.38
Poly(3-hydroxybutyrate) (PHB),45.69,30.57,102.35,156.35,98.95,81.96,63.62,67.5
Starch-based Polymer,16.13,82.62,112.2,181.48,72.77,68.0,79.14,64.64
Nano-cellulose Composite,63.51,86.56,148.55,232.62,71.11,76.27,62.37,57.26
Chitosan,25.91,77.23,217.07,222.29,74.55,79.6,92.39,27.35
Alginate,61.63,90.33,124.0,231.23,56.12,65.63,89.79,28.04
PHA (Polyhydroxyalkanoates),64.34,32.68,88.86,212.7,78.78,72.51,88.81,85.99
Chitosan,20.24,79.01,220.22,244.59,68.11,89.55,91.58,28.35
Recycled PET (rPET),12.21,50.74,187.47,235.37,58.27,53.28,64.26,29.08
Natural Fiber Composite,75.9,119.68,87.15,171.76,74.65,67.58,87.58,52.47
Poly(3-hydroxybutyrate) (PHB),47.49,100.88,54.23,187.83,52.66,32.58,70.47,40.66
Recycled PET (rPET),11.93,123.1,83.39,189.87,71.58,78.75,84.74,60.65
Bagasse Fiber Composite,94.86,24.38,44.05,215.53,57.52,45.29,59.79,84.63
Paper-based Composite,11.9,50.52,227.3,219.02,53.65,64.71,86.52,91.45
Natural Fiber Composite,68.31,41.04,158.76,176.87,91.66,46.29,98.72,26.5
Mycelium-based Material,93.87,21.59,217.93,216.42,96.02,33.6,56.2,74.31
Bagasse Fiber Composite,27.95,46.0,207.78,163.03,62.36,64.86,58.5,79.64
Polycaprolactone (PCL),19.37,92.08,51.01,180.56,78.12,60.89,59.86,55.19
Polylactic Acid (PLA) Blends,17.53,44.81,119.11,172.02,65.7,60.91,73.92,56.7
Maleic Anhydride Grafted (MAG) Polymers,33.63,74.16,243.43,244.75,75.94,46.2,67.52,40.47
Gelatin,15.73,114.15,69.94,207.5,73.24,96.41,91.16,20.72
Alginate,68.06,93.66,26.81,207.59,65.28,32.24,75.9,52.26
Mycelium-based Material,12.29,62.08,96.31,213.25,85.77,92.63,76.39,82.66
Jute Fiber Composite,51.88,59.74,135.07,206.47,58.51,82.11,87.04,28.93
Poly(3-hydroxybutyrate) (PHB),95.02,68.53,28.13,161.59,55.02,43.7,70.78,89.26
PLA (Polylactic Acid),78.84,39.1,115.27,163.4,88.96,64.11,70.38,38.59
Recycled PET (rPET),61.25,87.35,74.55,236.19,84.13,99.24,88.87,24.73
Maleic Anhydride Grafted (MAG) Polymers,33.89,58.86,64.85,177.42,76.18,75.77,89.93,87.58
Starch-based Polymer,62.01,110.41,77.02,188.07,74.72,40.66,54.86,73.02
Polybutylene Succinate (PBS),53.44,100.29,39.77,196.84,76.13,63.12,60.79,69.5
Seaweed/Kelp-based Polymer,44.5,84.87,33.01,150.55,73.26,63.84,63.96,69.56
Gelatin,18.35,58.87,155.02,163.07,71.16,86.55,70.3,85.03
Recycled HDPE,85.27,42.58,237.74,202.08,76.24,94.3,67.55,69.98
Polycaprolactone (PCL),46.6,102.36,204.11,155.61,77.6,37.59,84.82,27.47
Gelatin,24.01,71.77,210.97,223.66,85.37,53.35,92.13,66.84
Mycelium-based Material,39.34,44.14,187.74,187.82,86.28,52.29,63.0,56.38
Polybutylene Fumarate (PBF),43.44,41.02,239.66,249.16,70.44,99.73,79.98,65.83
Blended Starch,80.04,37.87,238.38,175.35,72.14,70.03,71.05,72.11
Blended Starch,71.73,102.47,197.9,177.64,70.25,91.83,77.36,82.69
Chitosan,74.89,44.59,183.25,246.42,77.99,60.97,82.63,84.75
Recycled LDPE,7.76,76.02,86.74,179.68,74.03,81.15,95.13,63.44
Seaweed/Kelp-based Polymer,43.62,68.09,36.42,216.93,94.76,51.49,63.01,47.82
PLA (Polylactic Acid),49.39,81.61,36.82,218.61,85.58,94.0,58.18,89.06
Cellulose Acetate,8.48,113.03,188.02,233.28,95.19,62.95,82.93,42.33
Nano-cellulose Composite,29.78,112.04,21.67,246.99,86.18,86.65,72.25,25.88
Polylactic Acid (PLA) Blends,74.09,68.04,206.86,206.77,98.62,49.4,61.66,79.84
Recycled PP,18.92,22.03,101.12,204.75,82.7,79.17,59.56,39.17
Paper-based Composite,54.17,65.44,60.14,183.93,98.27,59.55,79.8,94.43
PLA (Polylactic Acid),25.83,84.42,110.78,199.95,60.01,34.14,67.96,39.56
Mycelium-based Material,7.85,79.3,180.27,237.25,54.99,60.08,99.88,79.46
Recycled LDPE,28.13,89.18,79.65,169.81,80.01,69.4,72.79,30.73
Starch-based Polymer,93.17,36.68,55.8,195.62,99.22,42.32,63.92,27.8
PHA (Polyhydroxyalkanoates),77.74,88.68,188.4,231.22,72.34,44.51,83.0,36.91
Maleic Anhydride Grafted (MAG) Polymers,91.73,39.7,221.96,156.52,62.57,63.61,65.39,91.39
Recycled PP,49.97,99.66,152.6,229.57,77.27,55.31,76.83,73.24
Polybutylene Fumarate (PBF),16.49,56.21,138.11,246.04,83.32,61.97,76.3,31.24
Paper-based Composite,55.29,95.37,192.4,227.72,67.47,63.34,74.97,28.67
Starch-based Polymer,47.01,25.46,187.17,178.82,86.45,41.53,90.66,41.12
Polybutylene Succinate (PBS),81.53,63.48,16.48,236.42,98.82,44.32,64.12,40.68
Alginate,15.46,94.85,81.23,248.98,95.11,89.68,95.62,83.95
Starch-based Polymer,50.0,44.37,234.02,185.11,66.35,43.06,90.44,48.06
Jute Fiber Composite,20.06,104.38,240.65,164.67,68.02,77.28,69.46,75.62
Chitosan,35.52,87.01,134.92,219.84,70.15,60.46,62.47,53.57
Recycled PP,72.06,82.45,146.62,246.15,71.24,97.84,67.0,57.96
Coconut Coir Composite,48.92,57.74,15.15,204.71,57.27,36.5,69.43,33.96
Recycled LDPE,40.06,71.35,173.0,234.34,88.69,88.47,79.71,21.47
Polycaprolactone (PCL),41.7,83.48,64.92,158.56,69.85,65.42,56.32,54.9
Bagasse Fiber Composite,47.45,70.3,45.06,204.34,94.29,32.36,96.08,44.53
Alginate,76.28,94.14,86.6,246.05,96.53,49.93,58.72,93.88
Poly(3-hydroxybutyrate) (PHB),85.76,66.2,171.25,224.17,53.66,59.72,66.99,32.43
Natural Fiber Composite,91.36,41.77,117.54,154.08,99.45,53.37,59.21,26.93
Polybutylene Adipate Terephthalate (PBAT),76.44,43.0,97.03,173.79,86.23,56.65,65.96,45.95
Chitosan,34.7,21.02,185.8,218.5,77.22,94.33,92.57,43.36
Natural Fiber Composite,67.7,52.19,206.22,249.13,71.0,56.54,82.38,59.83
Polybutylene Adipate Terephthalate (PBAT),45.52,99.49,219.26,230.71,77.13,60.48,64.61,40.75
Recycled HDPE,29.33,104.27,119.52,185.06,67.92,83.76,94.13,58.24
Hemp Fiber Composite,81.22,41.79,183.69,249.85,82.08,85.98,90.87,38.89
Gelatin,10.18,121.68,223.03,169.9,56.92,37.72,88.72,94.2
Polylactic Acid (PLA) Blends,86.61,73.46,228.59,176.94,82.0,79.88,93.02,54.38
Polybutylene Fumarate (PBF),47.63,117.23,130.65,205.66,65.58,64.81,82.58,72.61
Recycled PP,63.19,95.04,98.5,177.9,53.34,41.1,77.17,77.33
Hemp Fiber Composite,65.15,96.69,226.54,190.33,78.75,50.0,71.33,91.9
PHA (Polyhydroxyalkanoates),86.02,29.39,76.44,239.95,79.98,35.06,64.45,55.05
Maleic Anhydride Grafted (MAG) Polymers,63.14,43.64,202.26,197.67,72.76,56.5,79.73,73.14
Polyhydroxyvalerate (PHV),61.13,21.34,228.53,232.15,55.93,49.37,94.94,21.52
Polybutylene Succinate (PBS),12.68,96.03,188.83,225.96,94.93,57.98,81.4,63.22
Recycled PET (rPET),52.67,56.78,174.77,242.0,81.54,71.46,96.32,75.54
Alginate,20.07,103.47,26.91,209.33,58.0,81.8,70.55,78.95
Paper-based Composite,72.07,56.2,62.82,238.58,76.77,73.16,86.04,20.32
Polyhydroxyvalerate (PHV),52.13,106.92,171.64,206.84,76.12,78.13,83.91,66.6
Alginate,67.0,34.21,199.52,196.07,55.37,90.86,84.91,73.88
Coconut Coir Composite,10.47,38.72,29.9,191.64,81.33,91.42,83.74,83.29
Cellulose Acetate,14.29,56.4,19.48,202.01,90.9,90.53,64.35,64.1
Bagasse Fiber Composite,70.2,63.54,88.21,246.33,88.08,42.42,60.78,57.13
Polybutylene Fumarate (PBF),13.16,57.23,166.56,152.85,62.14,49.07,99.02,29.36
Gelatin,13.09,101.04,135.33,201.96,93.46,66.16,56.27,50.01
Polylactic Acid (PLA) Blends,7.85,30.65,16.96,218.49,68.77,56.39,75.62,70.1
Maleic Anhydride Grafted (MAG) Polymers,91.46,57.5,50.63,163.73,97.46,40.95,73.67,86.08
Recycled HDPE,72.07,108.81,191.77,211.3,55.91,51.57,70.69,24.58
Polycaprolactone (PCL),38.05,27.46,84.95,236.71,75.59,98.33,90.01,21.0
Polycaprolactone (PCL),33.03,119.91,42.54,170.54,80.86,55.59,88.34,76.5
Polybutylene Adipate Terephthalate (PBAT),37.74,124.56,26.95,219.03,64.26,60.49,95.66,43.65
Nano-cellulose Composite,75.36,29.76,214.85,182.7,89.14,32.44,72.31,39.81
PHA (Polyhydroxyalkanoates),65.33,51.17,125.84,215.42,82.28,80.92,80.04,67.01
Bagasse Fiber Composite,23.18,59.73,133.36,227.8,53.36,60.12,95.07,63.44
Blended Starch,22.19,102.39,29.42,167.07,81.4,39.01,99.72,62.23
Polybutylene Fumarate (PBF),15.49,83.33,129.82,205.6,75.85,97.86,98.59,69.41
Mycelium-based Material,65.24,88.45,166.76,168.52,61.81,84.87,87.08,77.24
Polybutylene Fumarate (PBF),74.45,100.4,43.86,156.04,99.8,81.38,60.76,54.87
Recycled PP,30.24,32.87,227.09,219.34,95.12,97.14,55.26,28.37
Seaweed/Kelp-based Polymer,8.63,108.39,199.09,209.53,66.39,59.71,92.0,81.96
Polybutylene Adipate Terephthalate (PBAT),14.05,94.92,203.44,162.35,78.2,80.86,92.72,68.03
Polyhydroxyvalerate (PHV),92.46,81.37,141.09,202.75,67.53,46.02,88.38,85.22
Jute Fiber Composite,32.94,114.36,93.47,199.64,89.34,79.4,67.02,68.33
Mycelium-based Material,74.88,94.36,165.51,232.16,96.69,32.96,83.5,27.38
Starch-based Polymer,62.08,41.71,67.96,245.71,69.54,40.59,68.68,28.78
Recycled PP,40.59,65.79,47.17,174.09,90.77,60.92,74.84,33.74
Polylactic Acid (PLA) Blends,24.99,72.58,141.51,193.37,76.17,32.82,71.72,48.76
Gelatin,17.53,26.24,127.48,246.65,71.34,63.41,96.04,44.25
Jute Fiber Composite,61.23,121.21,50.32,185.58,97.08,67.55,64.92,62.05
Starch-based Polymer,75.36,33.99,139.64,156.59,76.74,74.27,80.65,25.03
Mycelium-based Material,63.78,94.05,143.42,207.28,74.7,38.83,70.73,84.38
Thermoplastic Starch (TPS),53.73,73.86,219.81,175.89,84.44,44.31,84.57,51.73
Recycled PET (rPET),10.49,23.12,193.41,198.97,64.91,73.7,80.06,85.84
Polyhydroxyvalerate (PHV),92.52,118.05,66.13,161.09,67.93,76.76,96.52,75.13
Maleic Anhydride Grafted (MAG) Polymers,77.49,110.36,207.21,204.25,96.77,33.76,58.85,79.08
Hemp Fiber Composite,32.7,75.77,242.72,167.06,84.73,68.74,64.31,34.84
Cork Composite,93.54,44.58,183.41,241.68,91.77,85.38,89.3,77.19
Recycled PP,60.06,33.25,199.95,154.41,65.38,36.7,71.09,71.52
Recycled PP,58.34,58.78,77.61,185.19,78.33,60.1,61.79,89.14
Chitosan,73.01,47.38,248.1,171.99,98.64,54.2,77.25,66.43
Recycled PET (rPET),78.65,73.91,56.45,237.43,67.64,94.13,84.07,86.2
Blended Starch,64.9,122.45,191.45,232.37,60.12,44.63,56.25,78.93
Gelatin,18.12,81.12,107.88,244.87,76.77,53.65,67.56,89.36
Starch-based Polymer,36.73,114.38,98.86,153.03,70.92,93.09,91.27,45.08
Jute Fiber Composite,88.94,89.14,82.01,239.77,60.08,54.48,78.03,60.7
Gelatin,26.67,70.59,118.65,177.45,94.71,68.13,55.82,39.58
Recycled LDPE,39.73,110.65,200.86,234.33,99.56,34.25,67.11,83.72
Poly(3-hydroxybutyrate) (PHB),45.03,70.18,236.13,226.06,79.51,98.97,83.47,34.51
Thermoplastic Starch (TPS),45.68,112.13,112.82,191.56,89.3,88.1,63.33,61.65
Maleic Anhydride Grafted (MAG) Polymers,61.04,51.2,168.14,198.43,93.3,75.14,92.09,71.8
Gelatin,90.27,34.01,200.23,229.61,85.8,36.13,85.19,93.8
Recycled LDPE,28.09,110.72,38.44,192.86,54.6,37.09,75.79,33.38
Chitosan,17.54,82.44,240.73,200.79,59.99,69.06,96.14,22.19
Polybutylene Adipate Terephthalate (PBAT),24.26,114.29,64.73,209.95,55.87,51.38,72.14,78.43
Gelatin,85.3,119.44,230.04,225.51,52.97,74.35,64.97,92.47
Thermoplastic Starch (TPS),63.95,26.07,246.85,202.6,67.03,72.68,84.49,71.06
Recycled LDPE,32.09,73.31,38.6,185.57,71.14,89.03,80.46,63.3
Natural Fiber Composite,79.02,60.0,224.8,216.28,63.95,51.13,69.55,36.35
Recycled PET (rPET),83.04,86.49,165.61,213.63,55.57,71.29,69.94,73.39
Coconut Coir Composite,81.72,104.21,207.21,205.55,77.67,84.86,72.44,29.47
Polybutylene Fumarate (PBF),88.13,50.04,40.64,210.56,65.48,65.37,67.53,89.62
Nano-cellulose Composite,29.11,79.2,211.05,189.37,90.31,88.48,86.73,87.17
Recycled LDPE,73.62,95.24,162.12,187.85,52.88,40.93,84.03,27.07
Blended Starch,47.55,34.6,135.0,237.02,92.52,81.91,74.39,51.76
Polyhydroxyvalerate (PHV),81.32,106.37,146.61,234.97,97.85,96.12,72.42,28.76
Polyhydroxyvalerate (PHV),71.27,84.41,189.95,187.92,86.52,54.57,70.92,80.04
Recycled PET (rPET),75.52,120.67,84.94,224.57,87.35,56.91,67.18,43.7
Polyhydroxyvalerate (PHV),64.87,56.26,236.72,227.45,96.84,37.68,58.12,90.11
Hemp Fiber Composite,22.49,31.83,87.29,228.09,62.43,75.62,66.48,42.31
Bagasse Fiber Composite,55.03,73.89,221.11,182.18,99.74,69.57,68.91,24.67
Recycled PP,93.95,29.47,17.85,231.43,89.24,34.74,79.28,39.37
Polylactic Acid (PLA) Blends,89.77,122.78,230.37,207.59,87.01,83.15,89.64,52.83
Poly(3-hydroxybutyrate) (PHB),10.6,24.49,215.12,235.98,69.65,88.39,72.32,49.03
Cork Composite,21.37,99.97,44.18,159.74,78.42,93.68,97.47,84.26
Recycled LDPE,18.44,75.86,188.18,197.66,83.56,69.11,92.09,33.77
Paper-based Composite,71.05,59.33,102.92,240.56,81.97,62.78,99.3,52.05
Natural Fiber Composite,79.18,27.36,127.75,229.96,85.99,91.58,94.33,68.13
Poly(3-hydroxybutyrate) (PHB),25.68,86.1,31.12,178.36,56.41,59.11,82.45,72.95
Polycaprolactone (PCL),51.56,82.2,64.95,175.54,69.39,76.57,81.61,69.86
Maleic Anhydride Grafted (MAG) Polymers,81.21,50.07,239.11,153.52,73.12,73.84,60.13,87.72
Cork Composite,71.65,116.52,113.22,238.16,64.88,57.31,87.29,75.17
Recycled HDPE,54.78,52.52,21.12,221.47,60.7,37.91,81.69,22.59
PLA (Polylactic Acid),59.04,67.9,136.04,222.94,59.1,33.46,77.42,74.73
Polyhydroxyvalerate (PHV),51.79,77.83,248.75,174.82,69.9,61.12,85.95,56.84
Alginate,33.12,30.99,93.21,204.3,75.94,64.72,74.54,68.36
Starch-based Polymer,56.8,118.84,48.19,221.99,55.49,87.94,78.19,38.04
Polybutylene Adipate Terephthalate (PBAT),67.77,59.96,166.24,192.24,97.46,60.18,72.44,70.85
Polylactic Acid (PLA) Blends,84.1,28.94,231.16,160.21,88.85,51.12,87.06,54.63
Coconut Coir Composite,63.11,61.3,216.9,183.33,87.22,63.42,94.35,64.09
PLA (Polylactic Acid),74.16,83.79,169.39,211.66,60.71,48.18,92.71,40.79
Mycelium-based Material,20.95,74.65,58.27,167.59,81.18,38.21,90.2,26.13
Chitosan,47.64,93.75,199.32,248.23,77.66,39.69,54.83,86.71
Gelatin,7.61,26.27,208.46,229.88,99.17,53.7,95.96,32.42
Recycled HDPE,28.62,50.45,214.64,214.44,88.01,32.86,66.79,75.88
Seaweed/Kelp-based Polymer,71.09,106.91,109.93,207.81,79.85,46.97,94.87,45.58
Recycled HDPE,94.58,28.85,111.08,181.51,92.91,85.55,63.22,27.17
Polybutylene Succinate (PBS),15.56,110.74,51.46,191.88,59.87,47.95,74.34,54.48
Polybutylene Fumarate (PBF),42.32,30.11,196.58,209.67,53.22,39.53,88.52,28.01
Recycled HDPE,77.61,108.52,188.25,177.86,85.29,96.54,83.52,47.68
Chitosan,24.84,58.51,38.44,193.5,57.17,74.33,73.25,84.89
Polybutylene Fumarate (PBF),55.92,85.05,19.73,179.01,57.98,36.08,85.28,24.49
Blended Starch,71.68,36.55,238.65,241.05,87.87,36.23,79.34,21.71
Blended Starch,61.31,27.4,19.06,154.91,65.35,73.62,66.83,37.49
Cellulose Acetate,23.43,43.21,162.72,207.72,82.36,68.73,83.8,55.56
Seaweed/Kelp-based Polymer,38.24,33.91,121.61,241.52,96.08,36.65,63.55,59.42
Gelatin,76.17,53.4,197.69,227.5,67.53,47.25,85.98,78.9
Chitosan,55.85,74.72,35.62,227.83,62.81,95.17,54.34,26.69
Thermoplastic Starch (TPS),7.24,82.58,175.36,156.63,57.56,70.9,79.33,93.38
Bagasse Fiber Composite,74.15,103.81,159.51,223.48,58.7,61.94,72.57,44.77
Seaweed/Kelp-based Polymer,9.91,89.7,215.59,189.5,55.46,49.01,68.08,71.91
Polybutylene Adipate Terephthalate (PBAT),72.8,84.69,136.86,202.48,56.66,41.09,77.82,45.41
Recycled PP,24.71,63.89,186.15,217.1,73.02,59.38,83.76,35.02
Polylactic Acid (PLA) Blends,91.6,70.44,117.83,211.69,67.74,94.72,98.41,90.9
Polylactic Acid (PLA) Blends,39.35,64.18,246.23,207.92,86.06,35.31,92.35,31.92
Jute Fiber Composite,35.72,109.33,146.46,182.22,93.84,99.39,87.05,84.74
Blended Starch,19.96,44.7,192.08,201.63,89.78,46.13,76.14,72.79
Coconut Coir Composite,33.84,21.01,36.84,154.56,77.71,59.8,72.16,36.3
Hemp Fiber Composite,84.39,89.18,123.75,188.42,57.37,35.06,55.69,47.24
Thermoplastic Starch (TPS),94.99,41.79,30.14,197.65,86.21,71.77,70.65,76.18
Recycled PET (rPET),39.39,114.4,43.6,190.55,69.73,64.88,93.06,68.08
Bagasse Fiber Composite,46.5,111.12,133.94,198.38,56.57,77.34,71.79,72.05
Cork Composite,70.7,28.51,97.79,180.56,92.52,68.9,75.34,88.84
Poly(3-hydroxybutyrate) (PHB),85.23,31.64,123.06,241.27,68.57,59.08,66.65,39.53
Recycled HDPE,59.28,72.7,131.59,248.0,62.87,82.17,66.76,29.35
Natural Fiber Composite,41.44,84.74,52.54,178.94,93.89,33.7,57.03,44.13
Recycled LDPE,43.31,49.44,100.97,223.28,95.35,68.79,82.31,33.12
Polybutylene Fumarate (PBF),68.36,96.1,217.24,240.05,68.6,39.74,74.72,69.33
Polybutylene Succinate (PBS),7.06,83.23,216.3,183.16,69.35,61.65,81.95,46.21
Polybutylene Adipate Terephthalate (PBAT),61.63,54.71,130.29,198.61,80.03,85.8,79.25,87.12
Starch-based Polymer,38.25,23.09,191.05,161.87,87.34,41.69,90.79,90.4
Gelatin,77.09,99.62,192.08,232.04,55.5,95.64,88.6,93.48
Thermoplastic Starch (TPS),15.01,43.09,25.37,234.33,80.68,92.42,89.53,43.93
PHA (Polyhydroxyalkanoates),58.85,108.52,158.56,174.25,97.76,60.21,77.07,78.88
Cellulose Acetate,49.36,64.79,204.06,184.32,64.95,32.41,70.41,31.02
PHA (Polyhydroxyalkanoates),63.65,81.34,154.58,196.93,95.67,85.7,96.95,31.37
Polybutylene Adipate Terephthalate (PBAT),12.52,112.58,142.26,240.88,97.63,91.9,56.69,83.01
Poly(3-hydroxybutyrate) (PHB),58.13,111.6,139.84,244.72,65.28,43.88,61.19,55.14
Polybutylene Succinate (PBS),56.49,59.64,134.37,189.97,88.32,94.3,73.42,52.69
Gelatin,56.42,42.47,197.9,183.15,63.84,94.16,82.32,72.07
Polybutylene Adipate Terephthalate (PBAT),60.21,102.26,165.97,151.45,87.54,64.05,54.58,34.78
Recycled PET (rPET),66.67,66.14,65.64,200.12,90.38,86.27,87.14,58.53
Polycaprolactone (PCL),78.05,40.69,116.84,239.1,64.24,62.26,79.79,84.13
Paper-based Composite,30.67,115.91,139.23,217.94,86.5,70.36,76.4,55.73
Bagasse Fiber Composite,79.82,41.33,113.45,173.69,91.07,53.75,73.6,23.41
Coconut Coir Composite,50.89,23.13,70.83,161.35,69.53,42.84,77.99,33.5
Paper-based Composite,13.6,22.55,44.31,187.26,60.47,82.76,61.61,76.88
Cellulose Acetate,11.96,86.12,42.57,223.18,56.87,32.09,59.18,37.49
Alginate,36.37,90.28,84.63,244.34,79.83,71.41,67.47,20.6
Bagasse Fiber Composite,76.27,53.25,109.62,188.68,98.96,90.8,86.7,34.46
Seaweed/Kelp-based Polymer,69.43,54.2,175.48,225.44,91.59,47.05,81.14,67.5
Cellulose Acetate,76.6,56.26,246.46,200.63,73.2,54.64,76.19,28.14
Polycaprolactone (PCL),52.57,92.23,225.88,203.41,77.99,71.95,80.38,74.5
Maleic Anhydride Grafted (MAG) Polymers,45.75,26.55,206.22,208.64,65.78,48.79,79.81,25.82
Natural Fiber Composite,19.83,118.52,206.23,177.12,60.25,89.63,68.26,67.29
Starch-based Polymer,35.83,43.91,155.08,177.69,75.4,56.93,58.66,27.17
Recycled HDPE,45.2,125.97,74.4,207.93,74.52,71.55,95.27,23.73
Polyhydroxyvalerate (PHV),14.62,38.52,125.91,189.67,77.29,47.38,81.68,27.76
Jute Fiber Composite,26.31,101.88,48.5,180.23,97.76,34.81,86.16,89.7
PLA (Polylactic Acid),59.74,44.0,148.11,218.35,81.19,43.81,75.45,50.81
Nano-cellulose Composite,71.91,28.95,20.41,157.08,81.27,35.14,88.85,54.95
Mycelium-based Material,95.16,112.79,59.52,163.77,58.58,63.87,80.97,70.69
Recycled HDPE,89.39,111.09,182.39,165.01,99.83,71.89,56.66,88.17
Recycled PET (rPET),63.67,63.02,80.07,187.41,89.21,35.04,94.97,65.13
PHA (Polyhydroxyalkanoates),44.07,94.58,113.69,241.47,94.17,38.15,68.19,20.69
Cellulose Acetate,63.1,79.23,210.53,242.31,72.18,65.02,60.52,89.42
Polylactic Acid (PLA) Blends,76.33,110.47,25.47,197.38,76.35,86.34,58.23,43.06
Polylactic Acid (PLA) Blends,17.26,53.68,20.34,151.79,77.3,74.7,87.2,25.04
Maleic Anhydride Grafted (MAG) Polymers,43.07,75.7,68.81,187.59,61.72,39.12,86.44,91.79
Coconut Coir Composite,81.13,71.66,175.84,231.2,85.25,92.35,86.27,35.64
Cork Composite,40.76,57.78,70.49,168.86,95.39,94.39,96.14,70.15
Poly(3-hydroxybutyrate) (PHB),57.41,114.54,217.97,229.65,60.28,54.1,70.18,74.31
PHA (Polyhydroxyalkanoates),58.82,37.93,97.68,242.54,56.6,73.89,79.9,84.97
Hemp Fiber Composite,23.11,36.2,81.63,234.2,87.57,65.48,82.57,66.84
Recycled LDPE,38.85,81.33,69.73,152.96,65.48,96.06,99.06,94.98
Alginate,36.39,89.83,149.88,230.31,82.13,66.59,68.51,87.87
Polybutylene Adipate Terephthalate (PBAT),9.1,40.96,216.23,227.55,85.55,97.28,98.0,29.34
Poly(3-hydroxybutyrate) (PHB),8.92,61.67,110.42,173.49,67.79,45.56,61.01,60.08
Poly(3-hydroxybutyrate) (PHB),80.41,120.36,74.34,206.5,91.22,55.5,89.19,84.37
Maleic Anhydride Grafted (MAG) Polymers,30.95,46.45,113.9,178.18,78.62,85.13,83.19,46.96
Hemp Fiber Composite,52.65,90.98,227.63,185.93,93.78,85.29,91.61,87.32
Natural Fiber Composite,33.23,98.56,93.62,151.62,88.76,81.79,55.51,40.44
Cellulose Acetate,90.06,67.73,169.1,184.53,93.76,90.45,57.78,59.85
Starch-based Polymer,29.74,119.4,92.49,162.98,53.46,79.77,57.39,80.24
Recycled PP,44.82,98.19,173.57,242.18,64.07,75.25,81.36,77.12
Maleic Anhydride Grafted (MAG) Polymers,84.04,68.76,222.04,178.75,56.78,63.21,81.81,30.1
Recycled HDPE,81.32,80.53,155.66,159.02,73.5,63.76,95.7,58.39
Gelatin,23.26,93.54,237.65,199.78,94.77,59.62,75.62,36.46
Recycled PP,77.84,82.94,156.36,230.45,74.71,74.17,57.32,49.41
Recycled PET (rPET),47.34,113.19,244.1,163.42,92.86,59.65,63.8,82.36
Hemp Fiber Composite,49.54,58.09,185.08,220.33,68.04,42.03,54.57,54.17
Poly(3-hydroxybutyrate) (PHB),18.6,52.07,168.41,218.98,68.63,39.24,89.77,70.03
Jute Fiber Composite,13.92,42.99,210.01,206.23,95.04,94.86,91.55,33.47
Polybutylene Succinate (PBS),71.22,24.4,17.61,175.42,72.73,33.68,99.91,90.29
Polylactic Acid (PLA) Blends,50.73,24.95,75.45,184.9,90.01,39.17,73.08,81.93
Chitosan,45.45,112.28,65.78,236.2,63.74,62.28,55.08,22.32
Starch-based Polymer,71.36,92.04,41.06,242.45,97.57,49.88,64.95,22.9
Cork Composite,74.55,90.16,235.38,172.59,79.79,59.6,81.12,69.91
Polyhydroxyvalerate (PHV),20.85,85.31,45.79,158.39,88.57,39.99,98.26,53.53
Seaweed/Kelp-based Polymer,60.8,110.08,76.77,163.69,56.75,40.9,58.94,66.57
Gelatin,18.76,71.12,93.76,187.18,75.9,86.44,59.77,66.7
Gelatin,73.3,112.32,161.79,184.28,95.3,83.62,86.34,34.9
Cellulose Acetate,64.94,58.36,195.35,150.78,94.16,39.09,84.76,79.22
Coconut Coir Composite,91.47,118.26,157.1,223.39,54.72,77.41,65.67,76.52
Blended Starch,12.88,94.18,191.0,211.55,66.93,73.43,91.44,74.14
Natural Fiber Composite,11.83,47.57,109.5,244.66,73.56,80.51,60.1,38.92
PLA (Polylactic Acid),31.76,79.97,249.01,153.06,60.68,64.26,96.6,44.87
Mycelium-based Material,29.95,76.69,54.97,193.37,87.17,50.36,63.41,60.41
PHA (Polyhydroxyalkanoates),28.65,34.97,108.94,189.91,61.26,77.13,57.93,37.19
Polycaprolactone (PCL),87.01,82.84,210.56,190.27,68.97,57.25,69.75,67.86
Nano-cellulose Composite,28.87,53.65,72.99,158.06,84.01,46.89,62.8,94.35
Recycled PET (rPET),30.86,25.94,191.45,246.15,75.4,59.79,78.33,74.29
